pcb_material,solder_type,coating_type,component_density,via_structure,surface_finish,process_line,chamber_id,laminate_vendor,thickness_mm,copper_layers,copper_weight_oz,thermal_cycles,temp_min_c,temp_max_c,temp_span_c,ramp_rate_c_per_min,dwell_hot_min,dwell_cold_min,humidity_percent,vacuum_kpa,vibration_rms_g,initial_scale_coeff,rework_count,pcb_area_cm2,hole_density_per_dm2,copper_imbalance_percent,void_fraction_percent,ionic_contamination_ug_cm2,board_age_days,cycles_per_day,peak_assembly_temp_c,inspection_delay_hours,tg_c,cte_z_ppm,moisture_absorption_percent,warp_energy_index,via_fatigue_index,solder_creep_index,delamination_risk_index,residual_stress_index,deformation_um,drift_percent,post_scale_coeff,exceeds_threshold,severe_threshold
Ceramic,SACXPlus,Acrylic,Low,Through,OSP,LineA,Chamber_1,VendorD,1.019,6,2.0,451,-40,105,145,7.181,114,120,14.38,40.577,10.507,1.020084,1,158.41,652.57,2.66,3.024,0.1,22,1.225,265,21.58,400.0,8.0,0.01,3.145,71.972,37.516,2.102,1.71,11.322,1.4883,1.035266,0,0
HighTg_FR4,SnAgCu,Silicone,Medium,Microvia,OSP,LineB,Chamber_2,VendorB,2.43,12,1.0,200,-40,70,110,4.897,119,9,14.49,0.219,7.193,1.004604,2,105.8,468.59,28.99,6.65,0.151,666,6.709,255,47.62,172.0,55.0,0.13,2.313,43.644,18.926,4.727,2.753,,1.0685,1.015338,0,0
Polyimide,LowTemp,None,High,BlindBuried,OSP,LineD,Chamber_2,,1.257,8,1.0,1786,-65,85,150,4.192,15,48,82.84,0.149,16.885,0.993523,0,53.27,103.33,27.64,,0.511,607,4.504,255,63.45,255.0,47.0,0.27,3.475,251.911,216.467,17.046,4.171,37.342,6.5987,1.059083,1,1
HighTg_FR4,LowTemp,Silicone,UltraHigh,Microvia,HASL,LineA,Chamber_3,VendorE,1.837,8,3.0,472,-55,85,140,9.119,69,69,72.62,12.211,4.856,0.986834,0,164.44,128.72,32.43,3.575,0.26,293,0.916,245,,172.0,55.0,0.13,9.291,121.718,63.731,8.784,2.129,10.75,2.621,1.012699,0,0
FR4,SACXPlus,Silicone,Medium,BlindBuried,OSP,LineB,Chamber_1,VendorE,1.25,6,2.0,836,-55,150,205,14.732,109,39,17.81,7.146,8.866,0.998409,1,20.65,68.91,5.15,,0.516,360,6.229,245,,136.0,69.0,0.18,1.281,143.594,89.704,68.437,3.03,9.014,4.5556,1.043893,1,0
Ceramic,SnPb,None,High,BlindBuried,ImmAg,LineB,Chamber_3,VendorC,0.805,4,3.0,2173,-40,150,190,16.033,43,23,35.08,5.637,6.356,1.009453,1,197.52,305.1,3.56,6.853,0.166,704,4.336,245,9.06,400.0,8.0,0.01,10.045,365.43,371.522,5.534,3.988,49.259,7.6439,1.086614,1,1
FR4,SnAgCu,None,Medium,StackedMicrovia,ImmAg,LineB,Chamber_1,VendorD,1.839,10,1.0,902,-65,105,170,5.277,12,80,46.15,2.401,2.765,0.992919,2,167.91,131.35,12.9,5.183,1.207,713,4.149,235,52.26,136.0,69.0,0.18,4.215,167.73,78.552,17.865,3.261,10.325,4.2392,1.035011,1,0
FR4,SACXPlus,Parylene,Medium,Microvia,ImmAg,LineC,Chamber_1,VendorE,1.471,8,3.0,125,-40,105,145,8.513,19,13,15.07,0.133,16.097,0.99948,2,189.88,43.51,17.63,2.19,0.448,459,4.959,255,36.2,136.0,69.0,0.18,6.596,45.671,10.238,11.876,2.361,5.912,1.212,1.011594,0,0
Polyimide,LowTemp,Acrylic,Medium,StackedMicrovia,OSP,LineA,Chamber_2,VendorC,1.614,10,0.5,566,-40,85,125,15.298,89,118,83.28,11.857,4.509,0.992613,0,234.15,371.44,29.17,8.077,0.803,415,6.789,245,7.96,255.0,47.0,0.27,7.641,151.469,77.05,13.207,2.556,14.107,3.8836,1.031162,1,0
Ceramic,SnPb,Silicone,Medium,Through,OSP,LineC,Chamber_1,VendorD,1.963,6,1.0,501,-65,85,150,17.805,111,61,39.39,0.172,14.316,0.995107,1,90.62,228.77,31.3,3.606,1.285,689,1.539,255,65.73,400.0,8.0,0.01,3.348,74.912,57.336,4.835,2.884,9.841,2.5771,1.020752,0,0
Rogers,LowTemp,Silicone,Low,StackedMicrovia,ENIG,LineB,Chamber_1,,1.359,6,1.0,1241,-55,150,205,15.419,87,90,67.69,3.097,13.557,0.984672,1,136.26,155.07,10.89,2.036,1.191,166,1.32,265,17.47,287.0,31.0,0.05,3.832,388.726,272.877,8.612,2.061,47.828,8.1118,1.064547,1,1
FR4,SnAgCu,Parylene,UltraHigh,Microvia,ENIG,LineC,Chamber_1,VendorB,1.884,4,0.5,961,-55,125,180,9.297,10,103,65.06,0.697,12.003,1.002525,0,158.44,496.75,28.0,7.372,0.729,213,1.787,245,38.59,136.0,69.0,0.18,9.136,153.61,98.6,36.097,2.369,12.414,4.1349,1.043978,1,0
FR4,SnPb,Parylene,UltraHigh,Microvia,ENIG,LineB,Chamber_3,VendorD,2.081,4,1.0,206,-20,105,125,15.766,53,96,90.12,0.622,1.962,1.001004,2,148.05,409.77,28.47,2.465,1.263,434,2.873,245,60.13,136.0,69.0,0.18,5.676,58.522,29.462,18.41,2.588,0.0,3.9149,1.040192,1,0
Rogers,SACXPlus,Parylene,Medium,Microvia,HASL,LineA,Chamber_3,VendorD,0.888,6,1.0,672,-65,85,150,12.954,46,61,74.26,27.944,7.212,1.016968,1,158.68,395.03,14.02,3.695,0.235,471,6.476,245,48.75,287.0,31.0,0.05,7.324,136.011,40.821,5.461,3.122,,3.4356,1.051907,1,0
FR4,SnAgCu,Silicone,High,StackedMicrovia,HASL,LineD,Chamber_3,VendorB,1.435,12,0.5,1051,-40,125,165,2.752,110,14,9.17,1.603,16.684,1.00052,1,227.12,260.04,15.56,0.406,,231,5.209,255,17.27,136.0,69.0,0.18,9.1,199.608,113.872,20.251,3.083,14.444,3.6115,1.036653,1,0
FR4,SnPb,Acrylic,Low,BlindBuried,ENIG,LineC,Chamber_1,VendorC,0.889,10,3.0,1218,-40,150,190,2.247,67,15,20.27,2.128,6.587,0.990664,2,125.43,533.74,29.98,,1.983,115,0.906,245,71.97,136.0,69.0,0.18,9.378,264.743,212.268,31.507,2.425,,6.4705,1.054765,1,1
FR4,SACXPlus,Acrylic,High,Microvia,ENIG,LineB,Chamber_2,VendorD,0.715,6,3.0,942,-55,150,205,16.904,33,46,46.93,45.428,0.366,1.016642,0,209.3,123.61,29.82,1.954,0.729,418,7.048,245,7.14,136.0,69.0,0.18,32.169,240.043,96.524,77.572,3.175,16.949,5.1451,1.068949,1,0
HighTg_FR4,LowTemp,Acrylic,Medium,Microvia,ENIG,LineA,Chamber_3,VendorB,0.808,6,2.0,2180,-20,105,125,16.7,71,41,14.56,3.487,13.06,1.003586,0,158.13,322.22,32.68,5.019,0.827,657,0.769,255,58.09,172.0,55.0,0.13,11.63,345.86,331.244,8.184,2.865,42.471,6.5033,1.068852,1,1
Rogers,SACXPlus,Acrylic,Low,Microvia,HASL,LineB,Chamber_1,VendorD,1.944,2,3.0,1101,-40,85,125,8.684,92,108,42.05,22.085,12.377,1.001482,2,191.72,283.23,20.81,3.196,0.515,25,2.076,245,33.69,287.0,31.0,0.05,4.043,97.23,67.762,4.884,2.208,11.589,2.3784,1.025301,0,0
Ceramic,SnAgCu,None,High,Microvia,ImmAg,LineD,Chamber_1,VendorA,0.877,4,2.0,1561,-40,150,190,12.183,72,57,95.92,35.263,10.443,0.999039,2,90.8,561.55,16.55,3.884,0.465,243,7.592,245,5.66,400.0,8.0,0.01,7.664,299.019,195.828,8.634,4.025,36.544,9.092,1.089871,1,1
Polyimide,SACXPlus,Acrylic,Medium,Through,ImmAg,LineB,Chamber_1,,2.524,12,3.0,1275,-65,105,170,6.042,54,120,24.9,9.858,6.532,1.00102,0,91.07,146.71,28.11,3.365,0.37,586,3.233,245,17.85,255.0,47.0,0.27,3.51,87.693,92.534,6.246,2.903,2.44,2.3276,1.02432,0,0
FR4,SnAgCu,Acrylic,Medium,Through,OSP,LineD,Chamber_2,VendorE,2.295,8,1.0,917,-55,70,125,12.864,88,38,70.84,0.149,5.811,0.988818,0,225.63,691.18,2.74,7.047,0.881,115,3.159,245,6.46,136.0,69.0,0.18,2.161,69.157,57.465,11.742,2.341,5.57,2.8789,1.017286,0,0
FR4,SnPb,None,Medium,BlindBuried,ImmAg,LineB,Chamber_2,VendorE,0.719,6,1.0,101,-55,70,125,8.474,40,117,29.91,0.124,4.132,0.998164,2,202.93,128.1,29.66,5.425,0.852,602,1.932,255,15.3,136.0,69.0,0.18,15.048,57.227,12.034,10.414,2.207,2.126,2.4679,1.022798,0,0
HighTg_FR4,SnPb,Acrylic,Low,Microvia,ImmAg,LineC,Chamber_1,VendorE,1.904,10,2.0,1515,-40,105,145,6.794,20,44,9.14,1.356,10.651,0.996514,1,130.4,319.22,7.36,0.234,0.922,381,1.848,245,63.76,172.0,55.0,0.13,2.123,185.19,181.449,6.445,2.901,9.593,3.1274,1.027678,1,0
FR4,LowTemp,Parylene,Low,Microvia,HASL,LineB,Chamber_1,VendorD,0.722,2,1.0,1897,-20,125,145,8.378,105,120,15.05,0.081,17.931,1.003426,2,120.28,432.46,15.97,7.244,0.694,42,0.646,255,21.41,136.0,69.0,0.18,5.35,394.592,347.384,27.141,1.935,55.656,7.761,1.081302,1,1
FR4,SACXPlus,Silicone,High,Microvia,HASL,LineA,Chamber_2,VendorC,0.929,12,2.0,1924,-40,150,190,8.636,88,63,15.56,0.492,14.102,1.012543,2,73.76,307.33,23.33,7.099,,121,7.271,245,44.17,136.0,69.0,0.18,7.309,281.682,198.622,47.063,4.398,23.892,6.6447,1.079823,1,1
FR4,LowTemp,Parylene,High,Microvia,HASL,LineD,Chamber_2,VendorD,2.775,8,1.0,1754,-55,150,205,17.015,90,8,33.51,,11.787,1.010738,1,64.07,615.63,0.95,2.358,0.312,55,6.319,255,14.77,136.0,69.0,0.18,1.11,277.832,382.118,74.972,3.87,37.549,6.1707,1.073108,1,1
FR4,SnPb,Silicone,Low,BlindBuried,HASL,LineA,Chamber_1,VendorB,1.66,2,1.0,534,-65,105,170,16.022,108,114,94.37,0.067,10.251,1.00528,5,68.1,458.09,13.28,2.07,0.418,202,3.446,255,18.01,136.0,69.0,0.18,1.655,115.322,74.033,24.748,2.058,14.949,5.8552,1.064141,1,1
HighTg_FR4,SnAgCu,Parylene,Medium,Through,ENIG,LineD,Chamber_1,VendorC,0.757,8,1.0,1015,-55,150,205,4.144,88,29,63.1,1.039,12.696,0.978463,0,227.06,483.29,9.96,3.841,1.238,177,6.518,245,25.72,172.0,55.0,0.13,13.853,192.594,129.322,16.702,3.206,32.697,4.6862,1.024316,1,0
Polyimide,SnPb,Parylene,High,Microvia,ENIG,LineA,Chamber_3,VendorC,2.486,4,2.0,1589,-65,85,150,5.59,9,98,17.32,0.332,9.034,0.993928,1,77.18,619.39,2.32,4.304,0.767,275,2.691,245,68.27,255.0,47.0,0.27,1.527,171.799,153.487,4.237,3.049,6.414,3.0669,1.024411,1,0
FR4,SnPb,None,High,StackedMicrovia,ImmAg,LineA,Chamber_2,VendorC,2.626,6,1.0,1621,-55,70,125,5.949,103,100,12.46,,15.254,0.977281,1,117.09,107.76,5.72,4.655,1.058,400,3.17,255,15.62,136.0,69.0,0.18,1.575,164.176,136.655,6.944,2.837,16.296,3.4032,1.01054,1,0
HighTg_FR4,SnAgCu,NanoCeramic,High,Microvia,ENIG,LineD,Chamber_2,VendorB,1.852,4,1.0,1366,-20,70,90,0.999,10,29,95.31,12.874,10.474,1.012131,1,169.39,324.0,5.42,5.703,0.563,106,7.561,255,47.48,172.0,55.0,0.13,2.128,93.068,78.916,7.126,4.02,13.319,2.2316,1.034718,0,0
Ceramic,SnPb,None,Medium,StackedMicrovia,ENIG,LineC,Chamber_2,VendorB,2.182,4,1.0,146,-40,125,165,9.923,85,71,21.77,51.454,4.454,0.997701,1,161.3,293.25,25.54,4.044,0.873,713,2.218,265,27.12,400.0,8.0,0.01,4.929,73.315,27.826,4.178,2.522,0.0,1.0531,1.008208,0,0
Ceramic,SACXPlus,Silicone,Medium,StackedMicrovia,ImmAg,LineA,Chamber_3,VendorB,2.338,6,1.0,1625,-55,150,205,9.102,120,96,30.88,5.599,10.139,0.99738,1,189.15,530.62,13.75,1.138,0.182,30,7.32,255,10.7,400.0,8.0,0.01,4.621,209.03,169.769,3.295,3.74,21.084,5.1599,1.048844,1,0
Ceramic,LowTemp,Parylene,Medium,Through,ImmAg,LineB,Chamber_1,VendorB,2.243,6,1.0,1262,-55,125,180,2.943,52,114,83.44,58.437,4.417,0.990918,0,102.17,592.75,1.57,0.957,0.44,514,2.397,245,40.15,400.0,8.0,0.01,1.463,158.117,228.59,3.7,2.826,10.085,2.8551,1.01921,0,0
HighTg_FR4,LowTemp,Acrylic,Medium,Microvia,OSP,LineA,Chamber_1,VendorC,1.738,2,2.0,221,-40,150,190,17.832,41,51,57.05,0.177,9.642,1.014315,0,91.8,325.94,7.57,,0.356,270,7.787,245,27.16,172.0,55.0,0.13,2.664,115.453,51.053,30.443,2.164,13.081,3.4852,1.049666,1,0
Rogers,SnAgCu,Silicone,Low,BlindBuried,OSP,LineD,Chamber_1,VendorA,2.449,10,1.0,1204,-65,105,170,13.894,112,53,26.85,17.157,14.483,1.000367,1,129.58,99.63,24.59,3.909,2.084,152,2.247,245,62.9,287.0,31.0,0.05,2.786,119.603,109.932,5.944,2.752,10.487,3.0474,1.030852,1,0
FR4,SnPb,Acrylic,Low,BlindBuried,ImmAg,LineA,Chamber_3,VendorE,1.807,4,3.0,1623,-20,125,145,3.949,58,99,67.13,1.116,13.096,0.997775,0,158.91,537.67,7.59,1.699,0.373,150,2.766,245,66.69,136.0,69.0,0.18,2.899,164.071,233.477,24.016,2.946,30.017,4.3776,1.041453,1,0
HighTg_FR4,SnAgCu,None,High,Through,ENIG,LineB,Chamber_1,VendorA,1.245,6,1.0,2061,-40,85,125,12.932,112,62,40.18,2.065,4.866,1.000651,0,238.8,552.58,14.89,3.922,0.243,560,4.875,235,41.27,172.0,55.0,0.13,8.344,132.041,149.425,9.322,4.109,17.784,3.8132,1.038808,1,0
FR4,SnAgCu,None,Medium,Through,,LineA,Chamber_1,VendorD,0.709,6,3.0,1742,-40,125,165,6.659,41,76,59.5,7.795,13.127,1.001572,1,148.4,207.3,22.37,3.435,0.922,483,2.024,245,21.48,136.0,69.0,0.18,12.92,206.974,180.354,34.322,2.675,23.752,5.239,1.054044,1,0
HighTg_FR4,SnPb,None,High,Through,HASL,LineC,Chamber_1,VendorB,1.453,2,2.0,605,-40,125,165,11.685,27,19,14.9,19.296,2.228,0.997532,0,188.44,136.61,32.68,2.549,0.928,517,0.605,255,38.53,172.0,55.0,0.13,12.556,101.892,87.462,11.151,2.409,11.467,1.8619,1.016105,0,0
HighTg_FR4,SnAgCu,None,Medium,Microvia,ENIG,LineD,Chamber_2,VendorE,0.873,12,2.0,1525,-55,105,160,8.892,69,84,86.98,0.079,11.616,1.014299,0,223.24,116.14,2.05,9.509,0.963,1,2.839,255,63.78,172.0,55.0,0.13,6.448,250.373,134.65,13.021,2.951,24.017,5.5587,1.070681,1,1
FR4,SnAgCu,Silicone,Medium,Through,ENIG,LineC,Chamber_2,VendorD,0.833,6,2.0,1498,-65,70,135,3.188,48,44,60.78,0.956,5.668,1.014176,1,18.74,88.75,7.54,1.863,0.484,629,3.896,235,48.75,136.0,69.0,0.18,1.293,145.169,88.628,10.013,3.633,9.276,3.2766,1.047407,1,0
Ceramic,LowTemp,Silicone,High,BlindBuried,HASL,LineB,Chamber_1,VendorE,1.685,4,1.0,466,-40,85,125,8.713,87,47,6.4,16.757,11.109,1.000275,2,74.39,217.52,7.55,3.022,0.847,466,0.501,235,6.7,400.0,8.0,0.01,1.688,94.064,65.812,2.708,1.99,15.127,2.2295,1.022576,0,0
FR4,SnAgCu,Acrylic,High,BlindBuried,HASL,LineA,Chamber_1,VendorE,2.682,6,1.0,1833,-55,125,180,17.341,40,109,57.44,2.916,15.522,0.989816,1,18.72,506.97,30.04,7.899,0.798,74,6.763,245,5.11,136.0,69.0,0.18,1.005,149.34,189.578,52.844,3.714,24.72,5.4424,1.043686,1,1
FR4,SnAgCu,Silicone,Low,BlindBuried,HASL,LineA,Chamber_2,VendorD,0.922,6,1.0,388,-65,105,170,13.668,93,88,39.31,0.671,2.408,1.003073,1,218.56,214.37,18.74,1.738,0.221,391,2.66,235,11.56,136.0,69.0,0.18,9.517,110.251,38.907,18.173,2.09,0.0,1.9749,1.022883,0,0
FR4,SnAgCu,None,High,Microvia,ENIG,LineD,Chamber_1,VendorA,1.275,2,1.0,1660,-20,85,105,11.577,46,70,89.31,0.068,12.537,0.992007,1,104.01,589.6,25.53,2.964,0.051,557,1.823,245,40.98,136.0,69.0,0.18,4.336,143.313,118.096,18.438,3.012,24.233,4.2361,1.03403,1,0
HighTg_FR4,SnPb,Acrylic,Medium,BlindBuried,HASL,LineA,Chamber_2,VendorC,2.443,4,1.0,1635,-40,150,190,15.309,46,71,18.75,0.053,12.3,1.016274,1,146.77,247.28,15.61,1.215,0.399,377,5.475,245,12.5,172.0,55.0,0.13,3.502,183.232,280.732,25.735,3.477,22.726,5.0838,1.06794,1,0
FR4,SnAgCu,Parylene,Medium,Through,ENIG,LineC,Chamber_1,VendorB,1.544,6,0.5,2117,-65,85,150,15.054,87,104,36.7,1.265,13.625,1.018,1,125.3,499.52,16.08,0.682,0.7,485,7.509,245,18.67,136.0,69.0,0.18,3.593,143.385,152.164,11.81,5.016,10.039,4.2311,1.061073,1,0
HighTg_FR4,SnPb,NanoCeramic,High,StackedMicrovia,ImmAg,LineB,Chamber_3,VendorE,2.293,8,2.0,1439,-20,85,105,16.077,35,77,76.34,1.974,,1.007798,0,185.24,163.91,33.11,8.08,0.146,366,4.056,255,38.26,172.0,55.0,0.13,5.445,140.508,140.768,8.656,3.249,15.473,3.8197,1.046293,1,0
FR4,SnPb,Acrylic,High,Microvia,ENIG,LineD,Chamber_1,VendorE,1.839,4,0.5,195,-65,125,190,2.672,38,30,26.72,0.285,8.693,0.985228,0,99.74,97.75,5.61,6.028,0.477,43,3.85,255,40.98,136.0,69.0,0.18,2.425,87.981,30.531,23.67,2.135,5.479,1.5615,1.000613,0,0
Ceramic,SnAgCu,None,Medium,Microvia,OSP,LineB,Chamber_2,VendorB,1.968,6,1.0,2165,-40,85,125,3.027,68,68,34.81,21.805,2.454,0.993565,1,20.71,184.19,13.51,3.368,0.716,390,4.427,245,59.47,400.0,8.0,0.01,0.686,155.395,154.395,3.867,4.074,23.133,3.9291,1.032604,1,0
Rogers,SACXPlus,Parylene,UltraHigh,Microvia,HASL,LineB,Chamber_1,VendorD,1.038,4,0.5,868,-40,105,145,14.541,44,77,76.95,,12.527,0.996753,2,97.68,445.87,33.56,2.13,0.736,536,1.681,255,31.73,287.0,31.0,0.05,9.376,137.741,63.855,6.704,2.521,14.246,4.3644,1.040256,1,0
HighTg_FR4,SnAgCu,NanoCeramic,High,Through,ImmAg,LineD,Chamber_1,VendorB,1.44,4,0.5,1022,-40,125,165,17.92,50,12,71.53,0.209,9.816,0.989072,0,122.42,471.65,8.86,9.553,1.786,365,2.911,255,56.11,172.0,55.0,0.13,3.803,113.672,107.134,16.471,2.978,15.793,4.1547,1.030165,1,0
Polyimide,SnAgCu,Acrylic,High,Microvia,HASL,LineD,Chamber_2,VendorD,2.006,8,1.0,1915,-40,105,145,10.476,44,21,39.09,0.209,14.614,,1,108.01,441.79,3.77,4.556,0.928,709,4.086,245,6.19,255.0,47.0,0.27,1.877,169.906,166.92,9.534,3.825,22.904,4.3682,1.039012,1,0
Rogers,SnAgCu,Acrylic,Low,Through,ENIG,LineB,Chamber_2,VendorC,0.756,4,2.0,535,-65,85,150,17.385,77,60,49.0,35.798,14.274,,0,78.61,307.07,10.08,9.99,0.098,321,8.457,245,39.27,287.0,31.0,0.05,3.248,102.592,41.558,5.59,2.928,12.088,2.2344,1.024343,0,0
Rogers,SnPb,None,Medium,BlindBuried,ENIG,LineC,Chamber_2,VendorC,1.095,4,1.0,1471,-20,70,90,12.2,44,72,56.82,54.086,13.196,1.005491,0,39.43,400.52,28.42,0.983,1.482,488,3.558,255,31.21,287.0,31.0,0.05,1.66,124.836,119.666,7.307,3.219,21.006,3.7966,1.043666,1,0
Polyimide,SnAgCu,Silicone,Medium,Through,ImmAg,LineC,Chamber_2,,1.512,4,3.0,1703,-65,125,190,2.267,76,11,87.69,88.923,7.147,1.01462,2,24.23,660.2,33.85,3.541,0.434,245,0.806,245,66.61,255.0,47.0,0.27,2.446,164.122,178.699,11.347,2.569,18.441,6.6444,1.082035,1,1
Rogers,SACXPlus,NanoCeramic,High,Microvia,ImmAg,LineB,Chamber_2,VendorB,2.117,6,0.5,1184,-20,105,125,16.732,32,58,66.86,9.221,8.562,0.998909,1,220.25,70.85,21.19,0.28,0.245,3,2.475,235,52.0,287.0,31.0,0.05,5.527,96.761,85.303,5.218,2.455,3.704,3.0401,1.029276,1,0
Rogers,SnAgCu,Silicone,Medium,Through,OSP,LineA,Chamber_3,VendorD,1.77,6,1.0,1657,-65,125,190,15.234,108,25,60.51,58.26,16.489,0.995569,0,32.64,76.17,33.65,1.88,0.434,262,7.926,235,49.94,287.0,31.0,0.05,1.949,147.296,175.256,6.682,4.517,18.394,4.6078,1.041443,1,0
Ceramic,SnPb,Acrylic,High,Through,,LineC,Chamber_2,VendorD,2.209,6,1.0,1581,-55,105,160,10.017,115,82,80.61,0.155,7.847,0.983714,2,106.14,355.54,6.05,8.32,0.269,520,7.207,245,65.19,400.0,8.0,0.01,2.071,131.84,197.271,6.576,4.663,11.664,4.0,1.023063,1,0
HighTg_FR4,SnAgCu,,Medium,Through,ENIG,LineC,Chamber_3,,2.226,6,1.0,1169,-65,85,150,13.595,6,60,34.0,0.163,10.559,1.003341,1,35.39,565.31,21.39,1.074,0.045,70,5.438,265,18.21,172.0,55.0,0.13,1.146,91.076,81.753,7.499,2.999,12.058,2.2257,1.025672,0,0
FR4,SnAgCu,Parylene,High,Microvia,OSP,LineA,Chamber_1,VendorB,0.765,8,0.5,237,-55,85,140,6.847,18,16,46.85,0.069,12.303,0.993742,2,42.67,617.41,20.15,2.068,0.341,131,4.73,245,54.68,136.0,69.0,0.18,3.288,96.959,18.078,8.868,2.155,8.174,2.501,1.018595,0,0
FR4,SnAgCu,Acrylic,High,Through,HASL,LineA,Chamber_1,VendorA,2.594,2,0.5,1652,-40,85,125,11.391,17,52,69.17,2.997,2.083,0.996675,0,161.74,516.72,4.47,3.132,0.732,284,5.588,245,,136.0,69.0,0.18,1.767,82.34,115.565,13.058,3.787,7.906,3.1975,1.028544,1,0
HighTg_FR4,SnPb,Parylene,High,BlindBuried,ENIG,LineC,Chamber_2,VendorC,2.431,4,2.0,1746,-40,125,165,7.908,27,113,43.16,0.269,13.849,0.992391,0,223.1,170.2,20.94,4.069,0.762,621,8.193,255,71.48,172.0,55.0,0.13,6.885,164.668,248.343,9.969,5.298,28.259,4.3924,1.035981,1,0
HighTg_FR4,SnAgCu,Acrylic,High,Through,ImmAg,LineA,Chamber_1,VendorE,1.269,4,2.0,711,-20,105,125,9.867,96,11,50.08,3.773,0.269,0.992731,1,95.3,536.04,18.24,1.051,0.872,353,3.961,245,31.18,172.0,55.0,0.13,4.22,78.283,66.767,9.68,2.459,4.226,2.3954,1.016511,0,0
HighTg_FR4,SACXPlus,Acrylic,UltraHigh,Microvia,ImmAg,LineC,Chamber_1,VendorA,1.718,10,1.0,1808,-40,105,145,11.749,34,52,20.76,0.053,17.677,,1,183.53,167.93,25.71,3.123,0.778,45,6.879,265,48.11,172.0,55.0,0.13,8.995,154.458,129.458,8.114,4.185,4.416,3.4091,1.042155,1,0
HighTg_FR4,LowTemp,Silicone,Low,Through,ENIG,LineC,Chamber_1,VendorA,1.347,4,3.0,506,-40,125,165,1.727,73,21,62.12,2.787,10.231,0.998504,1,191.27,30.18,28.24,2.743,0.764,549,7.504,265,13.97,172.0,55.0,0.13,8.027,115.776,97.447,10.274,2.827,11.614,3.7106,1.035555,1,0
HighTg_FR4,SACXPlus,Acrylic,High,StackedMicrovia,ENIG,LineB,Chamber_2,VendorC,2.604,4,2.0,409,-55,85,140,2.452,34,109,64.9,42.983,3.025,1.017932,0,160.16,123.66,7.62,3.402,0.368,401,2.099,255,40.47,172.0,55.0,0.13,2.795,68.288,24.98,8.371,2.353,5.467,1.9341,1.03762,0,0
Rogers,SnAgCu,NanoCeramic,UltraHigh,Through,HASL,LineA,Chamber_2,VendorB,1.504,6,1.0,312,-40,125,165,2.217,13,59,84.77,12.452,14.115,0.985772,2,210.86,678.37,3.74,2.831,0.319,316,3.53,245,32.36,287.0,31.0,0.05,5.739,65.339,33.175,6.165,2.175,14.108,3.2561,1.01787,1,0
FR4,LowTemp,Silicone,Medium,Through,ENIG,LineB,Chamber_1,VendorB,1.532,6,1.0,1233,-20,105,125,11.033,15,78,13.86,0.814,15.201,1.014195,1,59.44,505.76,31.43,4.041,0.315,190,6.234,265,,136.0,69.0,0.18,2.456,131.763,185.39,11.46,3.124,15.801,3.3962,1.048639,1,0
FR4,SnPb,Acrylic,Medium,Through,HASL,LineB,Chamber_1,VendorC,2.615,8,1.0,667,-55,105,160,7.902,114,117,88.76,0.084,3.686,0.993273,3,34.68,119.87,25.18,2.813,0.452,554,2.299,235,66.12,136.0,69.0,0.18,1.139,79.698,89.301,21.071,2.793,1.367,4.2631,1.035617,1,0
Ceramic,SnPb,Acrylic,UltraHigh,Through,OSP,LineB,Chamber_1,VendorB,1.961,4,2.0,1540,-55,85,140,9.401,70,11,13.91,0.322,0.743,0.998527,0,119.24,231.15,12.32,8.07,0.963,657,2.984,245,64.99,400.0,8.0,0.01,3.764,119.746,153.248,2.583,3.44,15.434,2.908,1.027564,0,0
Rogers,SACXPlus,Silicone,Low,BlindBuried,HASL,LineC,Chamber_1,VendorD,0.99,4,1.0,1454,-55,85,140,9.405,80,61,74.57,2.294,9.441,1.005124,1,136.55,620.47,18.25,5.816,0.112,561,3.255,255,69.04,287.0,31.0,0.05,4.673,147.899,87.118,6.542,3.504,10.146,4.0036,1.045365,1,0
Rogers,LowTemp,Acrylic,Medium,Through,HASL,LineD,Chamber_1,VendorB,2.015,6,0.5,962,-55,125,180,1.496,27,13,60.19,0.354,11.53,1.01151,0,100.59,505.25,27.96,6.196,0.607,54,8.288,255,13.38,287.0,31.0,0.05,3.766,145.572,172.982,5.004,3.246,17.633,3.7659,1.049602,1,0
Rogers,SACXPlus,Parylene,Low,StackedMicrovia,ENIG,LineA,Chamber_1,VendorC,2.368,8,1.0,598,-40,85,125,14.492,61,94,43.36,18.275,3.029,1.011983,2,222.66,185.75,5.53,4.802,0.485,235,6.034,245,1.85,287.0,31.0,0.05,1.875,78.801,37.555,4.633,2.268,0.05,1.4947,1.027109,0,0
Rogers,LowTemp,Acrylic,Medium,BlindBuried,,LineC,Chamber_3,VendorB,1.409,12,1.0,2017,-65,125,190,12.852,81,73,90.96,,10.109,1.01175,2,45.4,684.37,0.04,3.963,1.189,607,4.624,255,53.61,287.0,31.0,0.05,1.087,324.241,366.217,11.126,4.318,45.554,8.1237,1.093942,1,1
FR4,SnAgCu,Acrylic,Medium,Through,ENIG,LineB,Chamber_2,VendorB,1.807,6,1.0,1949,-20,105,125,12.632,95,56,48.0,0.191,9.475,0.996699,0,225.12,415.81,18.58,1.819,1.376,357,4.02,265,19.86,136.0,69.0,0.18,5.112,106.805,172.481,15.896,3.411,14.321,4.0155,1.036721,1,0
